frame,G908R_febuxostat_rep1,G908R_febuxostat_rep2,G908R_febuxostat_rep3,G908R_natural_rep1,G908R_natural_rep2,G908R_natural_rep3,R702W_febuxostat_rep1,R702W_febuxostat_rep2,R702W_febuxostat_rep3,R702W_natural_rep1,R702W_natural_rep2,R702W_natural_rep3
455,35.4316,23.1203,16.8361,25.9428,25.5593,20.0975,27.1286,20.7547,16.5922,28.7865,20.8312,34.6698
456,35.0702,22.6576,16.9331,25.9902,25.6432,20.0308,27.7456,21.2980,17.3325,27.4102,21.6099,34.3614
457,34.6633,23.7120,16.7375,26.2154,24.9037,20.4827,28.3762,20.4752,17.2073,23.0111,21.7447,34.0256
458,34.0139,23.4627,16.8590,27.3733,26.0169,20.4010,27.9887,20.1723,17.4671,26.1879,21.2826,33.4738
459,35.7210,23.5923,17.1733,26.9131,25.4776,19.3927,27.4098,19.4560,17.2008,26.0870,22.0973,32.2923
460,34.7810,23.8960,11.9353,26.6746,25.6898,19.6914,27.8369,19.3629,17.4865,25.7320,21.4436,33.0188
461,34.1677,23.1068,12.2842,26.9849,25.3374,19.5127,26.5451,19.6540,17.4349,25.3970,21.8965,32.4483
462,34.8570,22.1535,17.1551,27.6421,25.2251,18.8213,26.9155,18.7137,17.0225,23.8063,22.5527,32.5175
463,34.6211,16.6005,12.2209,26.6267,25.4153,19.0096,26.6414,19.0529,16.9425,24.7524,22.7712,33.2890
464,35.6095,16.7965,17.2448,26.5351,25.6244,18.7391,25.6719,19.3322,16.6552,20.3759,22.6622,34.0782
465,35.3214,17.1092,12.4209,26.7276,20.7242,18.1989,26.0547,19.8977,16.9786,20.8027,22.0672,34.1117
466,35.5490,16.6294,12.6631,28.1725,25.3103,18.1937,26.4805,20.2102,18.1346,20.1444,22.4425,33.4632
467,35.4972,16.5625,12.7701,27.1048,24.9266,18.9844,25.6830,20.0460,17.8993,20.2373,22.0754,33.7293
468,35.9889,16.3605,12.6495,28.3347,25.0735,18.6592,25.6374,20.5953,18.3392,20.8467,21.1863,33.2810
469,36.5590,16.5986,12.5673,28.0360,25.4988,18.5709,25.6062,21.4131,17.9316,21.4715,20.9128,33.7909
470,36.3988,17.5188,13.4584,27.3111,26.2186,18.3239,25.6043,21.1066,17.9181,21.2168,20.4345,33.9071
471,35.4219,17.3746,13.1381,25.5583,26.1804,17.9278,25.8987,21.1162,16.9562,21.0390,21.3081,33.9750
472,34.7085,17.7446,12.6875,26.0715,26.8530,19.2159,26.1966,20.8345,17.8908,20.9842,20.9492,34.9380
473,34.6222,16.9784,12.9837,26.7374,27.3750,19.4158,26.4711,20.5388,18.1781,21.2931,20.8975,35.0478
474,34.2182,16.5338,13.4241,25.0638,27.0239,20.2653,26.9208,20.1101,18.2562,20.2928,20.5243,36.6249
475,34.1783,17.0600,13.4534,24.9808,23.9429,20.1263,26.7736,20.3958,18.4233,20.9049,20.5721,36.5799
476,33.9488,17.4264,13.4137,24.3374,23.4896,20.1958,26.8977,21.2502,18.1728,21.8441,21.7755,36.2708
477,34.1939,16.1318,13.0320,24.9419,23.6388,19.9345,26.5857,21.0350,17.5019,20.8368,21.6890,36.7343
478,34.2335,16.0647,12.8143,25.3214,23.5891,20.6248,26.7938,20.9966,17.6316,21.5896,22.2422,37.2075
479,34.0171,16.6253,13.2248,26.0003,23.2851,20.1475,28.8539,21.1073,16.9528,21.8657,22.2225,37.2803
480,34.6495,17.1296,13.7753,25.1244,22.2955,19.3323,29.6182,21.6712,17.3940,21.1704,20.3013,35.9593
481,34.2726,17.0855,14.4001,25.4390,22.0916,20.2003,27.7586,21.5226,17.4891,21.7447,20.6552,36.8177
482,33.9183,18.2156,14.5267,24.5916,22.5977,20.2426,27.5308,21.9995,17.4936,21.8932,20.3674,35.8210
483,34.0115,18.0225,13.6086,24.0487,22.9440,20.3563,27.5629,22.9286,18.2312,21.9002,20.3309,36.2613
484,34.1022,18.2850,13.5152,25.1788,23.0868,20.5793,27.0873,22.4410,18.7644,21.6388,20.2392,35.8192
485,32.9723,17.9304,13.7458,24.1316,23.4474,20.4121,27.1719,22.7600,17.8512,21.2747,20.4724,35.7338
486,32.4682,17.7779,13.6881,24.5795,22.5146,21.1281,26.9048,22.6261,17.3489,21.7375,19.9078,35.8883
487,33.5548,17.4036,13.4742,27.4603,21.1927,21.3430,26.8729,22.1033,17.7523,21.5101,19.6003,35.1806
488,32.7173,18.3466,13.1674,26.4379,20.0873,20.8131,26.8667,21.5943,17.7447,22.5785,19.8977,35.2334
489,33.8815,17.7477,12.9735,27.4251,20.3309,21.4890,26.5264,21.7804,17.7714,21.9950,19.8409,36.2825
490,32.6998,17.5356,13.7854,27.3985,19.7303,20.9584,26.7901,21.0583,18.1653,22.2582,20.3182,36.6423
491,33.0186,16.6232,13.6309,27.8614,19.2468,20.8770,26.0292,21.0405,17.3262,25.6286,21.3135,36.4636
492,33.3558,16.8811,13.9121,25.7079,20.0697,19.8486,26.2989,20.3744,16.7236,24.4064,21.9348,36.7876
493,33.2816,17.4309,13.7709,22.9664,20.1815,19.8394,26.8524,20.3065,17.0862,20.9132,22.0954,36.5922
494,34.2044,16.4813,14.0165,25.7645,20.4589,19.4772,27.1526,20.4706,17.0011,25.5232,22.6176,36.5792
495,34.0095,16.0217,14.2240,25.8704,21.9815,19.7485,27.0597,20.2979,17.8773,22.1119,22.2928,35.6947
496,33.8856,16.4530,14.4984,25.6617,26.6501,20.2940,26.6788,20.8589,17.3745,23.3285,22.4042,35.7194
497,34.3519,15.6785,15.0261,26.1207,25.7160,19.7682,26.1894,21.0277,17.2013,22.9713,21.9712,35.8524
498,33.2711,16.0927,14.8476,26.5030,25.6994,20.5519,25.9664,20.9079,18.1868,23.3150,21.7612,35.8019
499,32.5223,16.6719,14.7639,26.2862,26.6492,19.9026,24.9393,20.8459,18.5048,23.6123,22.3958,35.8304
500,33.0756,16.9073,14.7184,25.6206,27.2333,19.9679,25.2766,21.1744,17.9422,23.5029,22.6204,34.9885
501,32.4390,16.9165,14.7251,26.5052,22.1845,20.1353,24.9874,22.0635,18.8659,22.2411,22.7654,35.0520
502,32.5252,16.2721,14.9215,27.3895,25.5823,20.6649,25.6009,21.8882,17.9413,22.8168,23.4765,33.5925
503,33.1774,16.2227,14.7200,27.7434,25.7324,20.4970,26.3315,21.2773,17.5014,23.6991,23.8980,34.1447
504,32.1028,17.4165,14.7313,28.6437,22.3806,19.8324,26.5445,21.0092,18.3676,23.9326,23.9671,34.2280
505,31.2852,18.0274,15.0421,29.3033,22.2890,17.2229,26.1101,21.4173,18.6302,23.5940,24.2871,29.9851
506,31.4087,17.5210,14.6091,29.6100,21.1127,20.2939,25.7163,21.4801,17.5594,23.7515,23.8760,31.0108
507,32.3573,17.0183,15.4770,28.6889,22.5707,20.3287,24.8441,20.9777,18.2230,23.9652,24.4835,31.8978
508,32.7864,16.5797,15.0745,29.4976,21.9392,20.7116,25.4958,21.0031,17.7781,22.4898,25.2329,31.9400
509,32.5252,17.3118,15.7203,29.7749,21.7004,22.3096,26.3724,20.6427,17.1929,23.4168,24.6490,32.0589
510,32.7848,17.8123,16.2729,30.3987,21.1917,22.4592,25.6908,21.1723,17.6282,22.6559,25.4565,31.8242
511,31.7103,17.2699,15.5971,30.4889,19.6864,22.4871,25.1411,21.2152,17.5099,22.3363,25.2662,31.3952
512,31.9413,17.5772,14.7994,30.4860,24.6489,22.9192,25.5424,21.5024,17.8536,21.2073,25.5044,31.8803
513,31.2038,17.8360,14.9558,28.5562,20.1239,22.7831,25.3070,21.4446,17.5266,21.2080,24.7263,30.4665
514,31.7683,17.4960,14.9725,28.5784,21.4766,21.6416,33.6812,21.0704,17.4325,21.2877,26.6490,30.4759
515,31.4636,17.2234,15.6999,27.6209,21.4935,21.1132,33.5997,22.1450,18.5002,22.6446,25.8368,29.9150
516,31.6418,17.2359,14.3623,26.9999,20.8752,21.0534,32.6344,22.2900,19.2107,22.5154,23.7061,30.1660
517,31.9313,17.0645,14.4085,27.4929,20.0737,21.2432,32.3551,21.7799,18.4645,21.6406,25.9749,30.5885
518,32.2004,17.6408,14.4823,28.1570,21.3422,20.3497,32.1223,22.7083,19.3265,21.3274,23.9521,30.4584
519,31.7041,17.3093,14.3172,28.2132,22.5973,20.1621,31.6186,22.1834,19.3420,21.0639,25.4135,30.3375
520,31.9721,17.5853,13.7094,27.9574,22.1965,20.4259,32.0308,22.2296,18.9614,20.1619,23.6581,29.9860
521,32.1268,16.9518,14.3101,28.1057,22.8568,20.1050,31.9398,20.6829,20.4502,20.8785,24.0784,29.9769
522,32.9293,17.7787,14.1167,31.0139,21.6436,20.9154,30.8022,17.1659,19.9339,20.9084,22.7904,29.4454
523,33.2543,18.2445,13.9065,27.9288,20.9024,20.9337,31.6875,17.8402,19.6502,20.7409,23.4863,28.3294
524,33.3246,19.1810,18.3986,28.0256,20.7884,19.8681,32.4291,18.4529,20.4776,21.0778,23.6019,28.8603
525,33.3277,19.5996,13.6377,30.7535,22.2329,20.8562,32.0214,17.8641,20.1609,20.5941,22.6181,28.5066
526,33.4309,19.5260,13.1603,31.1787,21.9750,21.2038,31.6748,18.6077,19.9391,20.5587,22.8430,29.5387
527,32.9274,19.3269,13.1199,32.8309,21.0148,21.8302,32.5372,18.3825,21.4213,21.5283,22.1829,29.0366
528,32.2379,19.0049,13.2995,29.2245,21.2342,21.4675,32.1334,18.2982,21.2939,21.5298,21.4311,29.0601
529,32.1395,19.1126,13.2077,29.1590,21.1154,21.7078,31.4651,18.2176,22.0072,24.9821,20.6434,28.8703
530,32.7467,18.9390,14.1850,28.9888,20.7750,22.2146,31.6844,17.8904,21.6585,21.2776,21.0799,29.4713
531,32.4900,19.4175,13.2116,28.3483,21.1059,21.7887,31.6635,18.4499,22.6965,20.6757,21.4509,30.4494
532,32.8354,20.0404,13.8411,28.0441,19.7997,21.3817,31.7672,18.2381,23.5477,20.7879,21.9622,29.5657
533,33.4380,20.4372,13.1068,27.9975,19.6995,21.5556,32.1430,17.6891,21.5580,20.2520,22.3856,28.6647
534,32.8727,21.5275,14.1463,27.4711,20.1854,22.4153,33.5125,18.2743,22.1715,23.6267,22.4641,27.8728
535,32.0187,21.7937,14.3758,27.0139,21.4539,22.9436,31.2285,18.6896,23.1715,24.1591,21.7509,31.0116
536,32.2104,22.5483,13.8890,27.6103,21.2869,22.4513,30.2357,19.4037,23.3078,23.1860,23.3679,30.7673
537,31.1048,23.2274,13.7103,27.9215,20.1851,22.9955,30.6229,19.0575,24.1488,23.2693,22.9596,26.8717
538,31.7575,21.7282,18.2971,27.6540,19.6070,22.7561,31.4127,18.3476,25.0015,23.9608,22.3917,26.9421
539,31.9913,23.4823,14.1626,27.6263,19.0371,22.0004,31.2801,18.1070,23.7915,24.1400,22.0430,27.4451
540,31.8171,22.4469,13.9634,28.2739,19.3380,22.0490,32.8577,18.1389,23.9895,23.1345,21.4247,27.4864
541,31.0345,23.9631,13.4264,27.9242,19.4333,22.6676,31.8663,17.8542,23.2485,21.9070,21.1037,27.1642
542,31.5165,24.0813,13.5759,27.1876,20.2734,22.2372,31.7243,18.1410,23.9316,21.9038,21.3220,31.4697
543,32.7652,24.6969,12.8145,27.6269,20.2132,22.4631,32.2747,17.5087,23.3835,22.3058,20.9622,30.9661
544,32.2973,25.3484,13.1655,28.1483,21.6708,23.3767,33.8755,17.9076,23.6752,22.4355,20.5728,31.6302
545,32.1858,25.2190,12.5993,28.9855,22.0074,23.5973,33.8608,18.0102,22.9744,22.4256,21.1167,31.0150
546,33.2140,26.3735,12.9537,28.3587,22.3409,23.6130,34.1034,18.2904,23.4623,22.8821,19.8689,27.5627
547,33.3958,26.1099,13.1356,29.0606,22.0486,23.5936,33.1558,18.1984,22.2424,23.3739,19.9006,28.0543
548,33.2755,26.0382,13.1895,28.5220,22.6345,23.7854,32.3358,17.6715,22.4257,23.3425,20.3175,24.9796
549,32.3664,26.7930,13.0943,28.3619,21.4409,23.5830,31.4040,17.6920,21.9475,22.5386,19.8317,25.1103
550,32.6973,26.4420,13.6766,28.2288,25.0646,23.2886,30.8327,17.2802,36.0214,23.2522,19.9946,25.3950
551,33.0753,26.1882,13.2416,27.4960,25.4015,23.3731,31.4071,17.9188,34.7204,22.2630,20.5467,25.2041
552,32.5719,26.4574,13.9165,26.7559,26.4234,24.1716,30.8971,17.9301,35.5954,21.1174,20.8919,24.9746
553,31.6844,26.6803,13.2090,26.4557,27.4350,23.9749,32.1464,17.3168,34.8916,21.3647,20.9237,25.9844
554,31.6873,27.4169,12.9652,26.3256,26.6089,23.9953,32.1801,17.6451,33.9356,21.0868,20.9892,26.7435
555,32.7556,26.6048,12.7982,26.5546,26.7423,24.2849,32.0784,17.1115,33.8866,20.6141,20.5162,25.9854
556,31.5973,26.0100,12.7691,26.7645,27.3732,23.8709,31.5798,16.9131,34.1815,21.3547,20.1252,26.2318
557,29.8421,25.1847,12.8291,28.5292,26.7908,23.7532,30.9744,17.6790,35.3988,20.1033,20.5666,25.9274
558,30.9350,25.6209,17.6966,26.4520,27.2632,23.8814,31.4345,17.4648,35.6275,19.4650,19.7413,26.2795
559,31.3208,26.3768,13.1166,28.1569,27.3488,25.1344,31.8332,16.8799,36.2756,18.9366,19.8826,26.0395
560,30.5169,26.0034,13.5423,26.8454,26.8123,25.5266,31.6357,16.8097,34.7622,19.4857,20.0285,26.0881
561,29.4881,26.0499,18.7011,27.2679,26.8701,25.0977,31.9962,16.7903,33.5086,18.9875,19.3959,27.2092
562,29.5957,25.8021,17.5400,27.5941,27.7961,24.7439,30.2574,16.8830,31.9341,19.3619,20.0671,27.2800
563,29.7617,24.5546,17.4781,27.4440,26.9941,25.4002,29.5023,16.9932,32.0397,20.4204,20.1861,26.3097
564,30.6713,24.4390,18.2168,26.9553,27.6528,24.2677,30.6827,16.5841,32.3469,21.5586,19.3593,26.2415
565,30.5191,24.7388,18.0354,27.4897,29.2011,23.9984,29.8675,17.1335,34.4499,20.9044,19.9611,27.2066
566,29.3890,24.9937,17.8208,27.2048,29.2799,24.1026,29.5131,16.2124,34.8479,20.9164,19.5083,27.4164
567,29.5459,25.2420,17.3180,27.0453,30.1045,24.8434,28.2995,16.4212,34.7683,21.0312,19.4448,28.1591
568,27.9732,25.1310,17.5020,27.0177,30.2340,25.0154,26.8539,16.4084,34.1387,20.9899,20.0187,29.8933
569,28.0837,25.7454,17.3858,27.7196,29.5614,25.6196,26.8060,15.7623,34.5693,20.3296,19.5228,30.4320
570,28.4683,26.8696,17.1885,27.8167,30.2337,24.8595,26.6750,16.3724,33.9527,19.9597,20.4492,29.5947
571,28.9149,27.2861,17.5822,27.4774,29.6774,24.5252,26.9844,16.1639,31.2842,20.0908,20.9107,30.3188
572,28.0942,26.3325,17.6876,23.0853,29.1037,25.6092,26.5520,17.3049,33.1628,20.0202,20.9366,27.1938
573,28.2352,25.5079,17.2278,26.4729,29.8988,25.4670,26.3516,17.3338,30.5367,19.6048,20.9845,27.4146
574,27.4916,25.0072,17.1074,22.9434,30.1401,25.2034,23.0165,17.3532,32.4444,19.1607,21.0936,27.3741
575,28.5758,25.3191,16.8167,26.1347,30.1961,23.2998,26.7275,17.0207,29.9783,18.3916,20.0674,28.1929
576,29.3074,24.7533,17.5875,23.8338,30.6220,23.3105,24.1222,17.2552,29.1524,19.2126,20.5142,30.3957
577,30.0230,25.4680,17.1011,24.1396,29.8496,26.2573,23.6154,16.8916,29.2911,20.1732,20.6299,28.3292
578,30.5344,25.5352,17.5957,24.4005,30.8179,26.9633,23.8369,16.9833,29.4283,20.4264,21.1080,31.0120
579,30.2084,25.4209,17.6147,24.8069,30.7851,26.6283,23.9117,16.7812,28.6501,19.9589,21.0786,31.0359
580,30.9849,25.4838,17.4387,20.3375,30.9569,23.4866,22.6957,16.8073,29.7895,19.3615,20.6526,31.4332
581,30.1286,23.6854,17.4632,25.0158,30.2350,23.8994,22.8932,16.8073,28.5439,18.9043,20.9047,30.9758
582,30.1724,24.1848,17.7910,27.5037,30.7575,23.0076,22.6949,16.9534,23.6587,18.4717,20.5050,30.6803
583,30.6220,25.2363,17.9464,19.4663,31.7878,23.4336,23.2030,17.3775,23.4299,17.8195,19.9347,30.6267
584,28.8595,24.7822,17.8185,19.0076,31.1138,23.1550,22.8379,16.9388,23.7135,18.2354,19.7428,33.4775
585,28.0196,24.9722,17.3620,20.8858,29.9210,22.7920,23.5949,17.0788,23.6370,17.6629,19.5199,31.8228
586,28.0870,25.3716,17.7434,24.6628,30.4680,23.1018,24.6580,17.1729,23.0644,18.7963,20.1372,34.4933
587,29.3964,24.5330,17.6985,24.3040,30.8031,25.5322,23.0442,16.9748,24.1434,18.8396,20.6520,34.1550
588,27.9441,25.6657,17.8581,24.5975,30.1924,25.6438,25.1704,16.5547,24.1872,18.8022,20.9969,33.1611
589,28.9516,27.3021,17.7163,17.4791,30.3485,26.0050,23.7046,16.5463,24.3412,18.8597,20.3622,33.0792
590,29.1356,26.2886,18.0429,19.3183,29.3808,25.9122,24.1408,16.7101,25.0142,18.8227,19.8988,33.2436
591,29.2080,26.1882,18.1826,18.3049,28.9907,25.7145,23.9196,16.4101,26.9597,19.0091,19.2474,33.1895
592,29.7626,27.4545,17.7710,18.7216,29.6148,25.4576,23.5085,16.9908,25.5854,19.4104,18.9451,33.5237
593,28.6846,26.4970,17.6202,18.3189,29.1702,26.2881,23.3361,20.7396,26.4416,19.1590,19.0193,34.5627
594,27.7552,25.2681,17.1169,18.8991,29.5439,25.5419,25.1008,20.8981,25.6981,18.5001,19.2402,34.8486
595,27.1153,25.2242,17.3760,17.9730,28.0008,22.5198,24.0687,20.4474,24.5847,18.7181,19.1441,35.4514
596,27.3429,25.6061,17.6505,18.2096,29.7901,25.9150,24.6242,20.2665,26.4212,18.7558,18.9222,35.2507
597,27.2458,25.7572,17.1623,19.0839,30.4768,24.8998,25.4060,15.8528,26.6110,18.1335,18.3901,34.4663
598,27.8144,25.6919,17.5134,19.3114,30.6148,25.5677,27.1580,15.7115,26.3647,18.5887,17.7626,34.4077
599,29.2013,26.4556,17.9690,19.5927,29.5957,25.4592,26.9995,15.7634,27.6862,19.3729,17.8127,35.3757
600,25.5829,25.7538,17.5407,19.4679,29.4195,25.7450,26.7611,16.1342,29.0695,19.2478,18.2333,35.8539
601,24.2625,25.4700,17.0343,20.0748,28.3725,23.8468,28.0112,20.7671,29.1514,20.1466,17.9431,35.0576
602,24.8032,25.2778,17.2994,20.2012,28.5096,25.1095,25.9069,15.6246,28.7858,20.0932,18.6091,31.2798
603,23.7542,25.6825,17.2946,20.6297,28.1714,25.7959,26.3858,15.8067,29.1889,19.6344,18.7324,34.7109
604,22.5229,25.3277,17.4863,21.3897,28.1659,20.6711,25.9466,20.6972,27.9272,19.8108,18.7532,31.7681
605,23.8436,24.7905,17.4210,21.4790,27.5404,24.6778,30.0223,20.6662,28.9431,19.2976,18.0477,32.1797
606,23.8256,25.1643,17.2443,21.2118,28.5084,24.7621,30.5355,20.1741,28.1364,19.3934,18.0145,32.8760
607,24.7072,25.8362,17.6954,22.2838,27.5962,24.9239,30.4090,19.8522,27.8720,19.2016,18.6006,35.9447
608,25.1307,24.9417,17.0795,21.7860,28.0723,26.1898,27.1812,20.1806,28.4894,19.1035,18.8814,36.6293
609,24.0312,26.0461,17.3254,22.0233,26.9771,26.6424,27.0454,19.9569,28.9713,19.0023,18.3643,36.4579
610,25.2032,25.6642,17.4637,20.4894,28.4175,26.1667,26.6989,15.1831,28.7886,19.0714,18.3846,36.2405
611,25.6835,25.1927,17.6500,20.2174,29.1053,26.0933,26.1681,14.8619,29.0802,19.4555,18.6542,33.6759
612,25.4043,25.7996,16.7884,22.0153,28.8808,25.2976,30.3587,14.5497,30.2039,18.9753,18.1802,32.4468
613,24.5094,26.9168,17.4113,26.1791,27.8603,25.5905,26.2869,14.5109,29.4322,17.5540,19.1386,33.6359
614,24.1530,26.5388,17.5422,26.0419,28.7821,25.7217,26.3963,15.3053,29.3460,17.8023,19.4389,32.1716
615,23.9208,26.1289,17.0737,24.9418,29.5564,26.0528,30.2867,15.1847,29.8286,18.6912,19.2204,31.7010
616,25.5956,26.2476,17.0429,24.5412,33.1577,26.2656,30.7641,15.1116,30.4917,20.1597,19.5408,29.3904
617,25.2796,24.9801,17.5729,25.6824,33.4096,25.5448,30.7085,14.5885,30.0304,20.3337,20.0025,28.5725
618,26.3805,25.7376,17.2812,25.8657,34.2748,25.7815,31.4024,15.1621,29.4034,19.6503,20.2685,31.9681
619,25.8586,25.8470,17.2678,26.4291,34.4765,26.2825,32.1833,14.7794,28.2860,19.1416,20.1390,29.0251
620,26.7013,26.0571,17.5244,26.4562,34.2910,24.9070,27.5944,20.2714,29.2539,19.4743,19.7339,29.7923
621,25.7171,24.8560,17.4224,26.2137,33.9359,25.0036,27.3027,14.7011,28.8974,19.5194,19.8029,32.0677
622,25.2253,25.1927,17.5082,25.5527,33.7394,24.4671,27.2368,15.1036,28.8020,19.6199,19.2138,29.6254
623,25.2673,24.6276,17.1291,30.8678,32.4560,25.7177,27.1976,14.6120,28.4855,19.3011,19.6673,29.2906
624,24.6975,25.5105,16.8422,29.6214,33.4188,25.5666,27.1379,19.2339,28.6337,18.6022,19.9978,31.8009
625,24.5512,26.0263,17.2778,30.3916,30.5345,25.2235,26.7013,19.6719,28.8416,18.5713,20.2996,31.9783
626,25.3362,27.5218,16.6955,29.6443,31.9966,25.3692,26.6338,19.0288,29.3536,18.0492,20.0286,33.2255
627,24.0540,27.6442,17.4075,29.3551,34.4638,25.0968,27.2128,19.6733,28.8468,17.5943,20.3786,32.6739
628,25.0790,29.1071,16.6308,28.9640,34.5074,24.9775,27.3461,19.6331,28.7619,18.0952,19.3171,33.3578
629,24.9138,29.1772,17.1243,29.2191,33.9046,25.3255,27.8804,20.3964,29.8265,18.8323,19.9178,33.2742
630,25.1601,28.5668,17.4038,27.4144,31.6423,26.2569,27.0822,15.0772,31.1667,17.9571,19.5517,33.8189
631,25.5261,28.0433,16.6255,27.6696,32.0104,25.4956,26.7012,19.9481,31.0754,18.8688,19.8618,34.0536
632,24.1322,29.6584,17.0221,27.5409,31.8320,25.5514,26.3095,19.9689,31.2598,18.9767,19.0411,34.5027
633,26.1090,29.4978,16.5978,27.1552,32.7066,25.9658,26.6484,20.2823,31.4188,17.9282,18.7968,34.2821
634,25.2662,28.9888,16.9648,26.9484,32.2164,25.6621,26.3950,20.3560,31.3365,18.3325,18.5543,34.9740
635,25.0908,29.0231,16.3402,28.2692,32.1012,26.4590,26.1334,21.4215,31.8878,18.4124,18.7556,31.9795
636,23.2164,29.4605,16.8924,27.7814,31.9106,26.3808,26.3120,20.6202,32.5183,18.0296,18.5272,32.7063
637,24.1215,29.8523,16.4909,27.2262,32.5546,25.8727,26.4536,20.3460,32.7528,18.9898,18.8562,32.3360
638,25.2611,28.6116,17.2943,27.6404,34.1603,26.6502,26.0675,20.3681,32.9304,18.6913,19.6529,33.2710
639,25.7781,28.7156,16.5772,27.3854,33.4599,26.9718,25.6268,20.1022,34.7565,17.7545,19.9289,35.4947
640,26.3233,28.2628,16.4692,27.1554,32.4178,26.7421,26.1434,19.9281,33.9153,21.0601,19.6627,34.6408
641,26.1138,29.3675,16.8524,26.5654,32.0490,27.7283,25.8329,19.8257,33.0432,21.0281,20.0563,32.6446
642,25.2060,29.1140,16.7398,27.2456,33.3980,27.7478,26.6955,19.8887,33.5914,20.5387,19.3227,33.9330
643,25.7972,29.0597,16.4417,27.2652,32.9319,27.9924,26.6290,19.9013,27.9740,20.1466,20.0236,36.4962
644,25.9733,30.2536,16.8593,27.1659,32.3126,28.4793,26.6188,20.3591,28.0517,21.2038,19.8896,34.5555
645,26.2848,30.3257,16.4835,27.0736,32.9256,29.3127,26.2248,20.4859,28.0973,20.8032,19.7577,33.3124
646,26.4203,29.6677,16.2663,27.2102,32.7393,29.6823,25.5366,19.8207,31.8165,20.6297,19.8143,32.5328
647,27.0486,29.7207,15.8736,27.6162,30.4193,27.6097,25.8759,19.8684,26.9260,20.2726,20.3845,32.2601
648,26.1635,29.8086,15.9835,28.6884,29.4539,29.3071,24.8102,19.7944,26.2945,19.9352,19.6296,31.9192
649,25.9380,29.8884,16.4759,27.7690,30.1222,28.3028,24.7082,19.6636,26.4700,19.2134,20.0796,31.8404
650,25.5990,29.4652,16.2982,28.2424,30.7505,28.1069,29.4315,19.3813,32.6906,19.1473,20.4145,33.1104
651,26.3496,29.5133,15.9950,27.7713,29.8497,23.7526,28.8501,20.0071,32.9537,19.3979,19.9587,32.5097
652,26.5527,29.2012,16.2265,26.9883,29.0856,23.7074,25.1008,19.5656,33.4741,19.2725,19.9598,32.8760
653,25.7188,29.5655,15.9536,26.9253,28.6138,24.1510,24.7639,19.4099,29.1161,19.1113,20.4765,32.5967
654,26.4296,27.9366,16.1028,26.4319,29.3663,23.0899,28.4811,19.4362,29.1691,20.0579,20.9768,32.0759
655,26.8435,29.4099,15.7233,26.8463,32.4425,22.5585,30.2590,18.8937,33.9837,19.7678,20.1949,32.0298
656,27.7399,30.2775,15.5380,26.0150,33.2583,22.9872,28.6105,18.9441,34.5984,18.8166,19.3688,32.1044
657,27.8772,29.6353,15.6689,25.6560,32.8804,22.9594,28.9816,19.3435,34.6049,18.4589,19.5618,32.4244
658,28.4244,29.5935,15.7635,25.7234,32.4295,23.8126,28.2937,19.4668,33.9635,19.9954,19.4802,32.2292
659,27.8137,28.4007,16.0538,24.9949,31.4237,26.3093,28.6161,19.0402,33.5166,20.5635,19.4915,32.5091
660,27.1373,28.7622,15.5464,25.0324,31.1134,26.3186,28.3767,18.7359,33.4154,20.8031,20.1493,32.2174
661,26.9519,28.9591,15.1940,25.6863,30.2303,23.0761,27.4534,19.6511,34.4935,19.7224,20.2794,32.0012
662,26.7182,28.2274,15.4563,24.5008,31.0445,26.6524,27.1576,19.5181,31.7061,19.4092,21.0775,30.7819
663,28.5371,28.1953,15.0183,24.5356,30.9731,24.2457,27.7327,19.0563,31.2377,19.3613,20.7980,31.5299
664,27.4273,30.4107,14.8003,23.8889,30.3748,23.3927,28.0558,18.8569,30.9139,18.5190,20.5751,31.0209
665,27.8086,30.7509,15.0281,23.8201,31.5038,23.1341,24.7177,19.2659,30.5906,19.6668,18.2059,30.8255
666,27.5830,30.3683,15.3337,24.1116,31.1447,23.1808,24.9883,18.7806,31.4099,19.8865,17.8388,31.2142
667,28.1215,29.8015,15.0618,25.0556,30.8416,23.3761,24.6769,18.7364,30.6587,19.0447,17.5609,30.5140
668,27.5454,30.5966,15.6229,25.2124,30.0628,23.0144,23.6435,18.8718,32.0631,18.7719,17.9852,31.3627
669,27.1714,30.8677,15.1689,25.7114,30.7456,23.6837,23.5583,19.5637,31.6192,18.8818,18.1675,31.6047
670,27.0811,29.9673,15.1716,26.2465,30.3693,23.5166,23.6592,19.8239,30.9268,19.7191,17.9462,32.3047
671,26.8863,29.3024,17.8576,26.2133,29.7718,24.5648,24.0364,19.9410,30.1102,18.0362,18.0123,31.5041
672,26.3403,29.3304,18.5554,26.3990,28.7695,23.4440,23.3070,18.9833,30.4986,16.9512,17.7143,32.4130
673,26.8467,29.1832,15.7158,26.9983,29.3125,19.0368,23.4247,19.3380,29.7917,17.3378,17.6937,32.3457
674,27.0171,30.0812,15.9905,26.8923,28.6686,22.4659,23.9898,19.2643,29.6757,17.8312,17.3898,31.8739
675,26.5075,29.6745,15.7726,27.0385,28.8567,23.9699,24.1449,19.9893,29.6730,17.4177,17.1839,31.9690
676,30.9693,28.8277,16.0278,26.8741,29.6230,23.1260,24.5466,20.4055,28.8999,18.1381,16.8704,32.1382
677,30.4631,28.9072,15.4400,26.6642,28.5682,22.7685,23.9478,20.8762,29.5996,18.9206,17.7453,31.4491
