frame,G908R_febuxostat_rep1,G908R_febuxostat_rep2,G908R_febuxostat_rep3,G908R_natural_rep1,G908R_natural_rep2,G908R_natural_rep3,R702W_febuxostat_rep1,R702W_febuxostat_rep2,R702W_febuxostat_rep3,R702W_natural_rep1,R702W_natural_rep2,R702W_natural_rep3
49,17.1934,15.6645,16.1812,29.0024,19.1418,22.5416,27.0304,18.5863,18.8722,16.0010,19.5636,23.1486
50,16.8694,15.4828,16.2603,29.3095,19.1654,22.6997,26.5782,18.0685,18.8393,16.9714,18.6949,23.8622
51,16.7932,14.9204,16.3895,30.9385,19.1184,22.2811,26.9638,18.4630,19.3738,16.7706,19.5951,24.4565
52,16.8931,17.6989,16.4025,30.9306,18.9172,21.9884,27.0694,18.8497,19.4715,17.1092,19.7754,25.4045
53,16.3362,18.3008,16.5666,31.1367,18.7832,22.7385,27.0180,18.3524,21.2793,16.8507,18.8460,24.3045
54,17.2064,16.8687,16.6109,31.0561,17.5755,23.1715,26.7060,18.4717,21.6606,17.3323,19.7862,24.6168
55,16.4608,18.1429,16.7918,33.9632,18.6668,22.6607,27.2775,18.5412,20.4847,17.8179,21.4993,24.5158
56,16.5043,16.6944,17.0228,33.5265,19.4618,21.4349,26.7533,18.8861,20.2607,17.7343,21.9686,24.6076
57,16.7141,17.5397,16.3613,31.0887,17.4515,21.4052,26.9452,18.9927,21.1411,16.9516,21.9627,23.8686
58,16.7242,17.7206,16.7976,31.5372,19.9667,17.9981,26.6220,18.6346,20.2381,17.6900,22.1634,24.7870
59,17.3559,17.2820,16.6758,34.3956,17.3570,17.9265,26.0508,18.7812,21.3054,19.6152,21.7701,24.1159
60,16.1564,16.2545,17.2541,31.5406,17.3277,17.8609,26.1968,18.0226,20.7686,17.1691,22.4965,24.0551
61,17.1218,16.2287,17.0388,31.0728,17.9690,16.9222,26.4973,18.7808,20.2867,19.5969,22.1368,23.4568
62,16.7888,16.4327,16.7757,30.5084,19.3829,21.8253,26.2123,18.1260,20.6885,19.7844,21.3415,24.2973
63,17.1524,15.5869,16.8765,33.8096,18.0516,20.9220,26.0476,18.5096,21.2391,16.8610,21.7630,24.4932
64,16.8861,15.6098,16.7824,32.1600,18.0598,20.4014,25.2274,18.5761,19.4445,20.0750,21.9561,23.8723
65,16.9517,15.7858,17.5420,32.9710,17.7400,20.6363,24.8608,18.4458,20.0300,20.2518,21.5772,24.4194
66,16.8821,16.8757,16.8697,33.1014,18.5051,21.4701,25.1178,18.0449,19.9923,20.7457,21.1456,23.9984
67,17.2975,16.0734,16.4300,33.0414,18.1944,21.0921,25.2478,17.5386,19.5995,20.2599,20.1494,24.8499
68,17.5427,17.1566,16.5403,33.6026,19.9072,22.0607,25.5213,17.3268,19.8068,20.9596,20.8337,23.9407
69,17.8000,16.7451,16.6915,32.2199,19.4369,22.2692,25.5893,17.7408,19.3067,17.8769,20.9798,24.0931
70,18.9871,17.0467,16.3960,32.5508,16.6532,22.3179,25.7255,17.2630,19.5616,18.6442,20.8291,24.4519
71,18.3359,17.7644,16.3606,32.4663,18.7707,22.3347,25.6890,16.7452,19.1727,17.7534,21.2020,24.6533
72,22.0249,17.6530,16.3457,31.5897,19.0162,23.0386,25.5315,16.5810,18.9508,18.5127,22.1120,24.2077
73,21.4929,18.0144,16.2740,31.8020,16.3468,22.4737,25.3977,16.5770,19.5197,18.7904,22.7478,24.0200
74,21.9765,17.6804,16.1361,31.2211,16.6953,22.5273,25.5525,15.8671,19.7995,18.5708,22.9651,23.3801
75,19.5605,17.8934,15.8893,30.9808,17.2701,22.1925,25.9888,16.1715,20.1980,19.0006,22.6440,23.3524
76,22.3369,18.1574,15.9994,28.8555,17.3940,22.1686,25.4239,15.9850,19.7020,20.7817,22.9153,23.2227
77,21.4797,18.3573,16.4271,28.3913,17.3378,22.0613,24.7190,16.4344,19.3832,18.8520,22.5678,23.2064
78,21.5088,17.7822,15.7795,28.0949,17.8193,22.3896,24.7695,16.1736,19.2934,18.6658,23.0268,22.9523
79,22.3112,16.8780,16.4477,27.1600,16.6098,21.3299,23.9398,15.9795,19.2057,18.4233,22.7303,27.6029
80,22.6654,16.7270,16.3864,27.7660,17.0950,20.8801,24.0281,15.6922,19.1544,20.2649,23.0651,27.3024
81,23.0928,17.1808,16.2957,27.6024,16.5882,20.9356,23.8379,15.6825,19.1424,19.9597,23.0657,27.9212
