#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)","Time Remaining"
3.0%,152500,610.0000000014564,-3521350.5942414124,574170.6514976419,311.2330521113194,0,--
3.1%,155000,620.0000000015042,-3519302.7835963443,574864.6528788285,311.60924021405987,222,2:05:53
3.1%,157500,630.0000000015519,-3516837.620792391,575327.3254971484,311.86003500956616,222,2:05:44
3.2%,160000,640.0000000015997,-3517814.5147990603,574549.2007581049,311.4382472765566,222,2:05:43
3.2%,162500,650.0000000016474,-3514173.346500216,573786.8120809033,311.02498938139655,222,2:05:35
3.3%,165000,660.0000000016952,-3517798.385553101,573909.963470797,311.0917444181585,222,2:05:33
3.4%,167500,670.0000000017429,-3517480.8888775446,574252.5217244758,311.27743041680765,222,2:05:37
3.4%,170000,680.0000000017907,-3519745.5629448555,573033.2412205938,310.61651124301636,222,2:05:31
3.5%,172500,690.0000000018384,-3515889.811971441,572187.0989357388,310.1578541431647,222,2:05:25
3.5%,175000,700.0000000018862,-3518471.8130940385,575616.782816613,312.01693729072235,222,2:05:19
3.5%,177500,710.0000000019339,-3516975.8467203286,575185.9460948266,311.78339935642794,222,2:05:14
3.6%,180000,720.0000000019817,-3519705.1990616787,573509.5843152085,310.8747162118743,222,2:05:10
3.6%,182500,730.0000000020294,-3517229.3478595056,576398.3797283674,312.4406071382348,222,2:05:07
3.7%,185000,740.0000000020772,-3519143.279127689,574114.2579670962,311.20248361990434,222,2:05:01
3.8%,187500,750.0000000021249,-3521937.0529577993,574659.4216889908,311.4979932712999,222,2:04:58
3.8%,190000,760.0000000021727,-3519961.243825348,573215.4734714909,310.71529145668956,222,2:04:49
3.9%,192500,770.0000000022204,-3516911.5455295406,573702.24952743,310.97915168219834,222,2:04:49
3.9%,195000,780.0000000022682,-3517085.220183879,574938.2180518296,311.64911670942325,222,2:04:44
4.0%,197500,790.0000000023159,-3516345.386884544,574024.8718519381,311.15403127674733,222,2:04:40
4.0%,200000,800.0000000023637,-3515926.9765917026,574178.0822671573,311.23708000976694,222,2:04:36
4.0%,202500,810.0000000024114,-3519231.7919740845,574777.8133046943,311.56216824054235,222,2:04:30
4.1%,205000,820.0000000024592,-3522490.418353025,573689.9235950836,310.9724703279105,222,2:04:24
4.2%,207500,830.0000000025069,-3522826.5052300245,572801.2072478089,310.49073567201674,222,2:04:21
4.2%,210000,840.0000000025547,-3522817.7446609437,573859.3259459538,311.0642960082351,222,2:04:16
4.2%,212500,850.0000000026024,-3520558.749369584,573724.1415759939,310.9910184139334,222,2:04:13
4.3%,215000,860.0000000026502,-3518166.00870046,574733.8701951865,311.5383485833451,222,2:04:07
4.3%,217500,870.0000000026979,-3517274.7235767003,573888.935675052,311.08034616045967,222,2:04:03
4.4%,220000,880.0000000027457,-3520363.0716572236,574634.1315718205,311.4842845936887,222,2:03:58
4.5%,222500,890.0000000027934,-3520746.381633345,573817.5640950307,311.0416587168815,222,2:03:55
