#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)","Time Remaining"
3.0%,152500,610.0000000014564,-3486220.1898503043,568437.1994657028,310.7109354131474,0,--
3.1%,155000,620.0000000015042,-3487239.1803510543,567925.341105294,310.4311507859078,275,1:41:24
3.1%,157500,630.0000000015519,-3491802.4126646034,568450.9350499175,310.71844335988953,274,1:41:40
3.2%,160000,640.0000000015997,-3487279.218112625,569850.2505836606,311.4833170149496,275,1:41:21
3.2%,162500,650.0000000016474,-3486853.750488868,567981.685236181,310.46194880128996,275,1:41:14
3.3%,165000,660.0000000016952,-3486891.876268681,568469.6298071817,310.72866201820796,275,1:41:18
3.4%,167500,670.0000000017429,-3486904.153411988,567848.0136599754,310.3888831741283,275,1:41:23
3.4%,170000,680.0000000017907,-3485034.769800173,570557.247052331,311.8697652177077,274,1:41:27
3.5%,172500,690.0000000018384,-3486720.175263211,568993.0430628571,311.01476261547964,275,1:41:13
3.5%,175000,700.0000000018862,-3488844.7773334105,568975.3735241425,311.0051043473236,275,1:41:06
3.5%,177500,710.0000000019339,-3482329.624660168,568692.1400644315,310.8502873626332,275,1:41:00
3.6%,180000,720.0000000019817,-3486640.738821801,569156.0451792632,311.1038604790791,275,1:40:56
3.6%,182500,730.0000000020294,-3488823.115085928,569366.5870529729,311.21894383848183,275,1:41:00
3.7%,185000,740.0000000020772,-3485092.1223550234,569781.6278920181,311.4458074699535,275,1:40:57
3.8%,187500,750.0000000021249,-3484660.0181937385,569987.9075139978,311.5585610588499,275,1:40:56
3.8%,190000,760.0000000021727,-3484471.4462071173,571420.8485781954,312.3418146159135,274,1:40:56
3.9%,192500,770.0000000022204,-3485436.791953195,571722.7577092783,312.50683982646746,275,1:40:50
3.9%,195000,780.0000000022682,-3485273.4603218157,567486.3728440761,310.1912082923696,274,1:40:52
4.0%,197500,790.0000000023159,-3489393.4641554,569185.2533770055,311.1198258424486,274,1:40:50
4.0%,200000,800.0000000023637,-3486750.8216763493,572155.103965466,312.74316269521836,274,1:40:45
4.0%,202500,810.0000000024114,-3487456.9389195144,571230.5626920217,312.2378032919809,275,1:40:39
4.1%,205000,820.0000000024592,-3489611.053641878,571072.8716957876,312.15160851621295,274,1:40:37
4.2%,207500,830.0000000025069,-3487143.232975479,567606.2308207869,310.25672332920306,274,1:40:34
4.2%,210000,840.0000000025547,-3484276.2372947857,570038.3943554177,311.5861574472256,274,1:40:33
4.2%,212500,850.0000000026024,-3487693.752682235,569954.5606236351,311.54033346307074,274,1:40:30
4.3%,215000,860.0000000026502,-3488347.666621236,569103.7497409186,311.07527550156334,274,1:40:28
4.3%,217500,870.0000000026979,-3486154.1067727245,569591.0446909477,311.3416336320445,274,1:40:26
4.4%,220000,880.0000000027457,-3486707.0725288615,568837.633300006,310.9298147745692,274,1:40:22
4.5%,222500,890.0000000027934,-3487569.946911605,568955.1269205312,310.9940374411588,274,1:40:19
4.5%,225000,900.0000000028411,-3486060.370955229,569860.857924934,311.48911504669775,274,1:40:17
