#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)","Time Remaining"
3.0%,152500,610.0000000014564,-3518721.966085812,572722.8972423256,310.41890757529853,0,--
3.1%,155000,620.0000000015042,-3521335.334062962,573241.999759035,310.7002639466474,112,4:09:33
3.1%,157500,630.0000000015519,-3519824.9414337873,573678.8195571157,310.93702263951684,112,4:09:13
3.2%,160000,640.0000000015997,-3520137.62301537,574477.6288686026,311.36998160628195,112,4:09:05
3.2%,162500,650.0000000016474,-3517697.1321600154,572947.6121946031,310.5407042946853,112,4:08:55
3.3%,165000,660.0000000016952,-3515937.214411797,571855.3301724298,309.9486815316357,112,4:08:43
3.4%,167500,670.0000000017429,-3514588.2833124604,573635.2697559034,310.91341841174363,112,4:08:36
3.4%,170000,680.0000000017907,-3517723.5463945195,573114.8072923874,310.631324941871,112,4:08:28
3.5%,172500,690.0000000018384,-3515363.468649216,574812.4780012456,311.55147164702953,112,4:08:21
3.5%,175000,700.0000000018862,-3516000.110611636,576109.3923083125,312.2544062151373,112,4:08:14
3.5%,177500,710.0000000019339,-3516906.446381066,575298.9992495184,311.8151687946871,112,4:08:09
3.6%,180000,720.0000000019817,-3513963.550703302,574405.838664613,311.3310709274801,112,4:07:58
3.6%,182500,730.0000000020294,-3516663.2134384345,572539.2065515278,310.31934622749185,112,4:07:50
3.7%,185000,740.0000000020772,-3519113.013740469,574728.5551324266,311.505984998277,112,4:07:40
3.8%,187500,750.0000000021249,-3515560.441068245,573290.9358356112,310.7267875647967,112,4:07:33
3.8%,190000,760.0000000021727,-3519709.6820814777,575230.6389337108,311.77811713382863,112,4:07:26
3.9%,192500,770.0000000022204,-3519976.0565231107,574299.0008983653,311.2731642803981,112,4:07:19
3.9%,195000,780.0000000022682,-3516984.757566491,572738.481610388,310.42735438706825,112,4:07:17
4.0%,197500,790.0000000023159,-3518412.540717352,572655.9363600047,310.382614414958,112,4:07:09
4.0%,200000,800.0000000023637,-3519831.9910211023,573831.1339282683,311.0195778523936,112,4:07:00
4.0%,202500,810.0000000024114,-3517645.5441137124,573668.9785376873,310.9316887537667,112,4:07:08
4.1%,205000,820.0000000024592,-3515759.0386875663,572493.0893502149,310.29435045497974,112,4:07:01
4.2%,207500,830.0000000025069,-3515523.4325583335,573973.6343251974,311.09681383816746,112,4:06:53
4.2%,210000,840.0000000025547,-3517122.774054,572614.8260564404,310.3603324081027,112,4:06:44
4.2%,212500,850.0000000026024,-3515443.795318391,574428.7059490927,311.34346511933376,112,4:06:36
4.3%,215000,860.0000000026502,-3517835.379923161,573537.3329420567,310.86033612899905,112,4:06:29
4.3%,217500,870.0000000026979,-3520136.8078756575,575075.9435929554,311.69427142255097,112,4:06:21
4.4%,220000,880.0000000027457,-3514131.6460741498,573319.8045107424,310.74243454283885,112,4:06:12
4.5%,222500,890.0000000027934,-3519582.376206925,574680.2752873464,311.47981706114746,112,4:06:04
4.5%,225000,900.0000000028411,-3516189.303145282,574513.1144164673,311.38921496512944,112,4:05:55
4.5%,227500,910.0000000028889,-3520917.3698064014,575639.6245606722,311.99978955542497,112,4:05:47
4.6%,230000,920.0000000029366,-3519479.662640376,575398.0500213883,311.86885484870453,112,4:05:40
4.7%,232500,930.0000000029844,-3519604.994040644,573060.674830775,310.60198485493015,112,4:05:32
4.7%,235000,940.0000000030321,-3520436.5225447565,573732.5206643163,310.9661289300337,112,4:05:24
4.8%,237500,950.0000000030799,-3520247.2650093324,574421.1880402521,311.33939037208546,112,4:05:17
