#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)","Time Remaining"
3.0%,152500,610.0000000014564,-3516833.7771664597,573821.7585705728,311.0229060757667,0,--
3.1%,155000,620.0000000015042,-3517072.757463917,575752.0094462053,312.0691407781419,107,4:20:36
3.1%,157500,630.0000000015519,-3513813.396656234,573289.6004768244,310.7344657119477,111,4:12:01
3.2%,160000,640.0000000015997,-3518201.4542788453,573824.2820663714,311.0242738611199,109,4:14:44
3.2%,162500,650.0000000016474,-3519237.5577788968,576223.9034145247,312.32491677686306,108,4:17:01
3.3%,165000,660.0000000016952,-3515650.6277318727,573617.0740537266,310.91196296092767,108,4:16:49
3.4%,167500,670.0000000017429,-3519037.818323437,573629.3405333932,310.91861163901666,109,4:14:17
3.4%,170000,680.0000000017907,-3517373.5372228753,574296.7675920983,311.28037049582474,109,4:14:37
3.5%,172500,690.0000000018384,-3519778.279754225,573936.8558295292,311.0852910993865,109,4:14:50
3.5%,175000,700.0000000018862,-3517439.6277385447,573956.2500704953,311.0958031671084,109,4:14:57
3.5%,177500,710.0000000019339,-3519124.8729263283,575690.3427151423,312.0357161726491,110,4:13:23
3.6%,180000,720.0000000019817,-3518740.0819925517,575059.6417083557,311.69386357283776,109,4:14:03
3.6%,182500,730.0000000020294,-3517214.0438038018,575558.2248913711,311.9641056614059,109,4:14:11
3.7%,185000,740.0000000020772,-3518610.0235446095,575078.6805424502,311.7041830029045,109,4:14:15
3.8%,187500,750.0000000021249,-3515845.6366427,576179.6813067987,312.3009475072209,109,4:13:10
3.8%,190000,760.0000000021727,-3518770.0487830937,574645.0729534812,311.4691589899539,109,4:13:22
3.9%,192500,770.0000000022204,-3519814.5319329035,572558.1866451709,310.3380247403965,109,4:14:06
3.9%,195000,780.0000000022682,-3517432.414028704,574157.7691960856,311.20503057637757,109,4:14:10
4.0%,197500,790.0000000023159,-3518019.39541813,575814.1860667721,312.10284175397595,109,4:13:19
4.0%,200000,800.0000000023637,-3517797.3125474583,571356.1924264843,309.6865197575366,109,4:13:39
4.0%,202500,810.0000000024114,-3516371.696177166,575496.9899791637,311.93091511039665,109,4:13:45
4.1%,205000,820.0000000024592,-3517749.0621139426,574708.4885849066,311.5035315345323,109,4:13:44
4.2%,207500,830.0000000025069,-3521813.525551535,573808.693450785,311.01582451870837,109,4:13:05
4.2%,210000,840.0000000025547,-3517129.3064452205,574155.3437628322,311.20371594289134,109,4:13:08
4.2%,212500,850.0000000026024,-3518233.9194484204,572502.7424001549,310.3079728471867,109,4:13:11
4.3%,215000,860.0000000026502,-3520705.2219275963,573575.0873117901,310.8892053043929,109,4:13:11
4.3%,217500,870.0000000026979,-3515543.2793688737,574700.9775889122,311.4994604240058,109,4:12:36
4.4%,220000,880.0000000027457,-3519597.0045737736,572216.393179073,310.1527658241639,109,4:12:39
4.5%,222500,890.0000000027934,-3514432.227568604,573370.0498001475,310.77807085929186,109,4:12:41
4.5%,225000,900.0000000028411,-3517765.5313766673,573632.494117352,310.9203209447946,109,4:12:40
4.5%,227500,910.0000000028889,-3518702.267054796,573970.0584733684,311.1032875985119,109,4:12:08
4.6%,230000,920.0000000029366,-3515795.862378601,573787.2522839603,311.00420297610236,109,4:12:10
4.7%,232500,930.0000000029844,-3520931.97201873,575799.569745926,312.09491941482133,109,4:12:11
4.7%,235000,940.0000000030321,-3516501.092973573,573310.5333896555,310.7458117706917,109,4:12:12
4.8%,237500,950.0000000030799,-3517696.58248912,573317.8275144519,310.7497653326778,109,4:11:41
4.8%,240000,960.0000000031276,-3514434.3854581825,574095.4773561415,311.1712671493293,109,4:11:41
4.8%,242500,970.0000000031754,-3519581.8666565474,574670.6577251395,311.4830264495153,109,4:11:38
4.9%,245000,980.0000000032231,-3517136.4160107058,573337.1510427461,310.76023907271275,109,4:11:37
5.0%,247500,990.0000000032709,-3520904.068585396,573960.4819381196,311.0980969242673,109,4:11:11
5.0%,250000,1000.0000000033186,-3517573.4919690713,574154.6036143522,311.2033147675651,109,4:11:09
5.0%,252500,1010.0000000033664,-3519311.0667796563,575194.854912638,311.76715184242244,109,4:11:12
5.1%,255000,1020.0000000034141,-3516588.979699131,574374.6322824832,311.32257472025935,109,4:11:10
5.2%,257500,1030.0000000032912,-3514810.554956589,574612.3806762057,311.45143911974577,109,4:10:45
5.2%,260000,1040.0000000030548,-3519651.0794606153,571868.3897997494,309.96414101036976,109,4:10:42
5.2%,262500,1050.0000000028183,-3516478.5800358523,575363.0616605267,311.8583232746111,109,4:10:39
5.3%,265000,1060.0000000025818,-3520333.663841704,571848.5289571448,309.95337603519806,109,4:10:37
5.3%,267500,1070.0000000023454,-3517949.3665951435,574989.5019101982,311.6558463949795,109,4:10:12
5.4%,270000,1080.000000002109,-3519395.576384537,572905.1700438673,310.52609670422623,109,4:10:08
5.5%,272500,1090.0000000018724,-3517561.457334971,574167.1265185967,311.2101024329201,109,4:10:08
5.5%,275000,1100.000000001636,-3516444.1641217824,573323.7963968366,310.7530005866875,109,4:10:05
5.5%,277500,1110.0000000013995,-3517511.50055274,574695.5662540419,311.49652737193514,109,4:09:41
5.6%,280000,1120.000000001163,-3517992.533706395,573797.073961308,311.00952652228295,109,4:09:37
5.7%,282500,1130.0000000009265,-3518470.4321040325,573382.8452016953,310.78500622365254,109,4:09:34
5.7%,285000,1140.00000000069,-3516407.0371522196,572882.2057369272,310.5136495891181,109,4:09:32
5.8%,287500,1150.0000000004536,-3520635.6732640658,574127.0744537498,311.1883934101845,109,4:09:11
5.8%,290000,1160.0000000002171,-3518908.6126276143,574410.0637042744,311.34177926175204,109,4:09:06
5.8%,292500,1169.9999999999807,-3515517.9703506157,576019.1163129482,312.213918059042,109,4:09:03
5.9%,295000,1179.9999999997442,-3520671.8689120933,573523.0030349069,310.86097458132406,109,4:09:00
6.0%,297500,1189.9999999995077,-3519180.049770158,574878.3260196822,311.59558683173117,109,4:08:40
6.0%,300000,1199.9999999992713,-3517406.9504812174,573303.1302991073,310.7417991470819,109,4:08:35
6.0%,302500,1209.9999999990348,-3516889.483241696,574779.0677174248,311.5417868404287,109,4:08:31
6.1%,305000,1219.9999999987983,-3519092.3040419407,574961.3047591664,311.6405629733839,109,4:08:27
6.2%,307500,1229.9999999985619,-3516929.5136081986,574757.0691847289,311.5298631943378,109,4:08:08
6.2%,310000,1239.9999999983254,-3518213.061577229,575636.4953131673,312.0065298004059,109,4:08:05
6.2%,312500,1249.999999998089,-3522095.030118229,572079.1263441434,310.0783644455651,109,4:08:01
6.3%,315000,1259.9999999978525,-3515760.826953832,572908.1842703933,310.5277304754796,109,4:07:56
6.3%,317500,1269.999999997616,-3519850.387362711,575849.6851676395,312.1220829788859,109,4:07:38
6.4%,320000,1279.9999999973795,-3517028.828679161,572783.9761517118,310.4604071830922,109,4:07:34
6.5%,322500,1289.999999997143,-3518305.807962613,573763.5579140678,310.9913601522262,109,4:07:30
6.5%,325000,1299.9999999969066,-3517785.3102483153,574642.4947829427,311.4677615697946,109,4:07:24
6.5%,327500,1309.99999999667,-3519386.326221876,572239.2771783341,310.16516941089884,109,4:07:06
6.6%,330000,1319.9999999964336,-3519276.3706178274,575928.0246546537,312.16454455261976,109,4:07:02
6.7%,332500,1329.9999999961972,-3518094.0523793716,574810.4700339715,311.55880752604054,109,4:06:57
6.7%,335000,1339.9999999959607,-3516321.9957191255,572296.5846438083,310.19623120698,109,4:06:52
6.8%,337500,1349.9999999957242,-3520893.6634987257,574956.2489136102,311.63782260365394,109,4:06:35
6.8%,340000,1359.9999999954878,-3517434.516254468,574252.9192018389,311.2566037885475,109,4:06:31
6.8%,342500,1369.9999999952513,-3519151.1622377913,574317.8585909604,311.29180224036935,109,4:06:26
6.9%,345000,1379.9999999950148,-3519448.925396668,574919.3426587314,311.6178186730373,109,4:06:21
7.0%,347500,1389.9999999947784,-3516947.1407770254,574185.8191511016,311.22023421477934,109,4:06:04
7.0%,350000,1399.999999994542,-3516368.3472111914,575817.9743302751,312.1048950688008,109,4:05:59
7.0%,352500,1409.9999999943054,-3518623.7862606607,574381.7513437204,311.3264333942839,109,4:05:54
7.1%,355000,1419.999999994069,-3520101.657660462,574345.3150122325,311.30668417157347,109,4:05:49
7.2%,357500,1429.9999999938325,-3517943.162079986,572998.6022397804,310.5767388289974,109,4:05:32
7.2%,360000,1439.999999993596,-3523072.657530131,575342.5935413488,311.8472291433525,109,4:05:27
7.2%,362500,1449.9999999933596,-3516028.5415018983,574049.4647192518,311.1463273769559,109,4:05:21
7.3%,365000,1459.999999993123,-3519624.135009013,575334.009944405,311.8425766615912,109,4:05:16
7.3%,367500,1469.9999999928866,-3519054.454816591,574845.5049268955,311.57779714093147,109,4:04:59
7.4%,370000,1479.9999999926501,-3515669.9362232797,574205.584826583,311.2309476074609,109,4:04:54
7.5%,372500,1489.9999999924137,-3519837.668443259,576672.4696111738,312.56804865529983,109,4:04:48
7.5%,375000,1499.9999999921772,-3519410.1853501294,574132.6719455596,311.1914273630512,109,4:04:42
7.5%,377500,1509.9999999919407,-3518063.0672781523,575084.5704407158,311.70737544593703,109,4:04:27
7.6%,380000,1519.9999999917043,-3518595.448904371,573916.2582677603,311.07412680764645,109,4:04:21
7.7%,382500,1529.9999999914678,-3519245.0350369364,573331.8737258563,310.7573786610765,109,4:04:16
7.7%,385000,1539.9999999912313,-3517320.3771140818,573792.6406166381,311.00712356052304,109,4:04:10
7.8%,387500,1549.9999999909949,-3516239.445221996,573822.708892236,311.023421169175,109,4:03:53
7.8%,390000,1559.9999999907584,-3515569.9333593063,572649.0859896141,310.3872940088529,109,4:03:45
7.8%,392500,1569.999999990522,-3520535.523159329,573615.8272785305,310.91128718375654,109,4:03:37
7.9%,395000,1579.9999999902855,-3518933.6809301246,574586.0785143923,311.43718282032677,109,4:03:28
