system,ligand,mean_DeltaE_all,std_all,mean_DeltaE_no_outliers,std_no_outliers,mean_contacts,mean_hbonds,n_reps,outliers_excluded
WT,Febuxostat,-18.9,9.9,-24.6,1.1,121,2.1,3,rep1
WT,Natural,-25.5,2.9,-25.5,2.9,195,2.0,3,none
WT,Budesonide,-24.4,13.8,-32.1,5.1,176,1.8,3,rep3
WT,Ursodiol,-24.9,3.8,-24.9,3.8,195,1.4,3,none
WT,Decoy,0.0,0.0,0.0,0.0,0,0.0,1,none
R702W,Febuxostat,-25.2,2.8,-25.2,2.8,171,2.0,3,none
R702W,Natural,-29.4,3.6,-29.4,3.6,218,2.6,3,none
G908R,Febuxostat,-23.3,7.5,-27.5,1.7,155,2.1,3,rep1
G908R,Natural,-24.4,5.8,-27.3,4.1,189,1.6,3,rep1
