compound_id,smiles,cnn_affinity,type,has_smiles,drug_name,final_smiles
401233,SMILES COC(=O)CNC(=O)N1Cc2ccccc2CN1C(C)=O,3.81777787,Natural,True,,SMILES COC(=O)CNC(=O)N1Cc2ccccc2CN1C(C)=O
20115,SMILES CS(=O)(=O)c1cc(Cl)c(Cl)cc1Cl,2.92448163,Natural,True,,SMILES CS(=O)(=O)c1cc(Cl)c(Cl)cc1Cl
6717,SMILES CN1CC(C(=O)O)C=C2c3cccc4[nH]cc(c34)CC21,4.13888407,Natural,True,,SMILES CN1CC(C(=O)O)C=C2c3cccc4[nH]cc(c34)CC21
201419,SMILES O=C(CN1CCCC1)NN=CC(=O)c1ccccc1,3.48881698,Natural,True,,SMILES O=C(CN1CCCC1)NN=CC(=O)c1ccccc1
401175,SMILES Clc1ncnc2c1nc(-c1cccs1)n2C1CCCCO1,4.97492361,Natural,True,,SMILES Clc1ncnc2c1nc(-c1cccs1)n2C1CCCCO1
2082,SMILES CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,4.61580706,Natural,True,,SMILES CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1
5464,SMILES Cc1cn(C2CC3OP(=O)(O)OCC3O2)c(=O)[nH]c1=O,3.37609386,Natural,True,,SMILES Cc1cn(C2CC3OP(=O)(O)OCC3O2)c(=O)[nH]c1=O
20896,SMILES CCCCCN=C(N)N=C(N)N,3.65798116,Natural,True,,SMILES CCCCCN=C(N)N=C(N)N
400748,SMILES COP(=O)(OC)C1Sc2ccccc2S1,4.10177088,Natural,True,,SMILES COP(=O)(OC)C1Sc2ccccc2S1
20956,SMILES O=C(NN=CC=Cc1ccccc1)c1ccncc1,3.86394334,Natural,True,,SMILES O=C(NN=CC=Cc1ccccc1)c1ccncc1
400229,SMILES COC(=O)CC(C#N)(OP1(=O)OC(c2ccccc2)C(C)N1C)c1ccccc1,4.20807028,Natural,True,,SMILES COC(=O)CC(C#N)(OP1(=O)OC(c2ccccc2)C(C)N1C)c1ccccc1
201952,SMILES CNc1nc(N)nc(CCN2CCN(c3ccccc3)CC2)n1,4.27560425,Natural,True,,SMILES CNc1nc(N)nc(CCN2CCN(c3ccccc3)CC2)n1
301461,SMILES CC12CCC(O)CC1CCC1C2CCC2(C)C(C(=O)O)CCC12,5.24639368,Natural,True,,SMILES CC12CCC(O)CC1CCC1C2CCC2(C)C(C(=O)O)CCC12
300276,SMILES COC(=O)N1C2C=CC(C2)N1C(=O)OC,3.34613204,Natural,True,,SMILES COC(=O)N1C2C=CC(C2)N1C(=O)OC
401577,SMILES O=C(O)c1nc(NCc2nc3cc(Cl)ccc3o2)n[nH]1,4.87959051,Natural,True,,SMILES O=C(O)c1nc(NCc2nc3cc(Cl)ccc3o2)n[nH]1
21003,SMILES O=C1CCCC1C1CCCC1,3.90635467,Natural,True,,SMILES O=C1CCCC1C1CCCC1
2073,SMILES CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)N3C1O,4.93262339,Natural,True,,SMILES CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)N3C1O
5843,SMILES O=C1NC(=O)C2(CCCCC2)C(=O)N1,4.78150606,Natural,True,,SMILES O=C1NC(=O)C2(CCCCC2)C(=O)N1
5479,SMILES CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,3.33513808,Natural,True,,SMILES CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C
300586,SMILES CCSCCNC(=O)C(=O)NCCSCC,3.41003227,Natural,True,,SMILES CCSCCNC(=O)C(=O)NCCSCC
300557,SMILES NC(=O)c1nc(-c2ccccc2)c(-c2ccccc2)[nH]c1=O,4.07310295,Natural,True,,SMILES NC(=O)c1nc(-c2ccccc2)c(-c2ccccc2)[nH]c1=O
903,SMILES CC(=O)NCCc1c[nH]c2ccc(O)cc12,3.23483276,Natural,True,,SMILES CC(=O)NCCc1c[nH]c2ccc(O)cc12
20725,SMILES COc1cc2ccnc(C)c2cc1OC,3.51027513,Natural,True,,SMILES COc1cc2ccnc(C)c2cc1OC
201966,SMILES C=CCOc1c(CCC)cc(C(N)=O)cc1CCC,4.17520666,Natural,True,,SMILES C=CCOc1c(CCC)cc(C(N)=O)cc1CCC
200335,,3.56929708,Natural,False,,
6413,SMILES C=C[Si](Cl)(Cl)Cl,3.13841367,Natural,True,,SMILES C=C[Si](Cl)(Cl)Cl
400006,SMILES CCN1C(=S)n2cccc2C1CC(=O)c1ccc(Cl)cc1,4.46741819,Natural,True,,SMILES CCN1C(=S)n2cccc2C1CC(=O)c1ccc(Cl)cc1
400436,SMILES Cc1ccc(C)c(C2CC3C(=O)OCC(c4ccccc4)N3O2)c1,4.60893154,Natural,True,,SMILES Cc1ccc(C)c(C2CC3C(=O)OCC(c4ccccc4)N3O2)c1
50037,SMILES COc1ccc(NC(=O)OCCN(C)C)cc1,3.28842711,Natural,True,,SMILES COc1ccc(NC(=O)OCCN(C)C)cc1
400072,SMILES C=CC(OC(C)=O)c1ccc(OC(C)=O)cc1,4.83050776,Natural,True,,SMILES C=CC(OC(C)=O)c1ccc(OC(C)=O)cc1
300595,SMILES CCOC(=O)C(C#N)C(=N)C#N,3.34548473,Natural,True,,SMILES CCOC(=O)C(C#N)C(=N)C#N
5381,SMILES CCOC(=O)c1ccc(C#Cc2ccc3c(c2)C(C)(C)CCS3)nc1,5.6824851,Natural,True,,SMILES CCOC(=O)c1ccc(C#Cc2ccc3c(c2)C(C)(C)CCS3)nc1
201959,SMILES CNc1nc(N)nc(CCCN2CCN(c3ccccc3)CC2)n1,4.49553537,Natural,True,,SMILES CNc1nc(N)nc(CCCN2CCN(c3ccccc3)CC2)n1
401828,SMILES COc1ccc(CCN2CCN(CCCc3ccccc3)CC2)cc1,3.76245236,Natural,True,,SMILES COc1ccc(CCN2CCN(CCCc3ccccc3)CC2)cc1
201827,SMILES NCC(O)(c1ccccc1)c1ccccc1,2.95846748,Natural,True,,SMILES NCC(O)(c1ccccc1)c1ccccc1
401973,SMILES Cc1[nH][nH]c(=O)c2c3c(nc1-2)-c1ccccc1C3,4.26197815,Natural,True,,SMILES Cc1[nH][nH]c(=O)c2c3c(nc1-2)-c1ccccc1C3
20556,SMILES O=C1C2(c3ccccc3)CN(CCCO)CC1(c1ccccc1)CN(CCCO)C2,4.67674303,Natural,True,,SMILES O=C1C2(c3ccccc3)CN(CCCO)CC1(c1ccccc1)CN(CCCO)C2
668,SMILES O=C(CO)COP(=O)(O)O,4.1093173,Natural,True,,SMILES O=C(CO)COP(=O)(O)O
400880,SMILES CC1(C)OCC(C2OC(CC(S)=NC(Cc3ccccc3)C(=O)O)C3OC(C)(C)OC23)O1,4.5703826,Natural,True,,SMILES CC1(C)OCC(C2OC(CC(S)=NC(Cc3ccccc3)C(=O)O)C3OC(C)(C)OC23)O1
